date,ph,avspeedtot,avspeed15,motile,indiv
22.02.2011,7.8,31.08378012,44.55792302,0.64,11
22.02.2011,7.8,27.83215219,43.79498614,0.56,11
22.02.2011,7.8,27.76061602,42.59740389,0.58,11
22.02.2011,7.8,34.51312625,47.49085176,0.65,11
22.02.2011,7.8,31.44270174,46.98254677,0.62,11
23.02.2011,7.8,26.16412513,36.09075481,0.68,12
23.02.2011,7.8,18.23433573,38.26004514,0.38,12
23.02.2011,7.8,28.97825669,44.68446131,0.6,12
23.02.2011,7.8,26.15750563,38.69865074,0.56,12
23.02.2011,7.8,22.25433488,37.93052489,0.52,12
23.02.2011,7.8,20.52622311,39.0386567,0.44,12
23.02.2011,7.8,15.85747869,36.70889469,0.3,12
23.02.2011,7.8,19.23860464,43.34747407,0.37,12
23.02.2011,7.8,23.01035652,42.73571231,0.47,12
23.02.2011,7.8,16.48156388,38.57886805,0.31,12
25.02.2011,7.8,17.91683279,41.59673274,0.32,13
25.02.2011,7.8,18.77895727,36.371912,0.45,13
25.02.2011,7.8,16.80389289,38.65578505,0.31,13
25.02.2011,7.8,17.59222499,39.89757533,0.35,13
25.02.2011,7.8,19.85986648,41.049139,0.39,13
25.02.2011,7.8,14.27261491,35.85655291,0.26,13
25.02.2011,7.8,11.83671645,31.71770798,0.22,13
25.02.2011,7.8,16.45667448,35.55533013,0.31,13
25.02.2011,7.8,13.71302022,33.58368211,0.25,13
25.02.2011,7.8,17.12464129,42.25206377,0.31,13
02.03.2011,7.8,30.06891136,39.42120284,0.7,14
02.03.2011,7.8,27.30574694,42.08341748,0.59,14
02.03.2011,7.8,27.68590097,40.59661206,0.61,14
02.03.2011,7.8,35.5468169,42.55515765,0.8,14
02.03.2011,7.8,32.04325506,39.71420867,0.77,14
02.03.2011,7.8,25.83457646,37.4959081,0.64,14
02.03.2011,7.8,28.81248444,40.10063369,0.66,14
02.03.2011,7.8,26.15835432,40.2629889,0.58,14
02.03.2011,7.8,26.18010166,39.55146271,0.59,14
02.03.2011,7.8,28.71113769,40.57730374,0.65,14
07.03.2011,7.8,27.64367407,40.28849821,0.62,15
07.03.2011,7.8,21.47677116,35.14475799,0.51,15
07.03.2011,7.8,15.39452695,27.34638444,0.45,15
07.03.2011,7.8,16.39269783,34.48449605,0.35,15
07.03.2011,7.8,17.84815942,34.87870542,0.4,15
07.03.2011,7.8,22.49043819,37.46332567,0.5,15
07.03.2011,7.8,22.07164201,35.40447864,0.52,15
07.03.2011,7.8,17.8667054,33.25948812,0.42,15
07.03.2011,7.8,28.85236876,40.89090202,0.65,15
07.03.2011,7.8,28.59447524,40.32502513,0.65,15
08.03.2011,7.8,23.068708,34.12714866,0.6,16
08.03.2011,7.8,16.53623783,32.81201098,0.38,16
08.03.2011,7.8,29.779646,42.78744241,0.64,16
08.03.2011,7.8,19.5156777,32.0144363,0.5,16
08.03.2011,7.8,22.66374125,34.2111242,0.6,16
08.03.2011,7.8,20.0270767,35.56032765,0.46,16
08.03.2011,7.8,22.67856386,37.4438965,0.52,16
