ageclass,sex,long,lat,thg,delta15n,delta13c,hgdep,hgwet,prec,tempmax,tempmin,elev,dist,soc,sph10,sph60,
Yearling,Male,-138.0,61.2,0.147,6.297,-24.926,7.791,5.026,29.665,2.260,-8.994,1890,838678.680,140.734,54,58,
Yearling,Female,-132.3,61.3,0.042,5.474,-25.386,7.687,4.693,35.405,2.624,-9.552,1505,820440.558,104.975,48,51,
Adult,Male,-132.3,61.3,0.052,5.597,-24.664,7.687,4.693,35.405,2.624,-9.552,1505,820440.558,104.975,48,51,
Yearling,Male,-132.3,61.3,0.047,5.707,-25.088,7.687,4.693,35.405,2.624,-9.552,1505,820440.558,104.975,48,51,
Adult,Female,-135.0,60.7,0.106,7.530,-24.457,11.191,2.248,25.295,5.258,-5.138,640,884516.218,60.410,67,69,
Yearling,Male,-135.0,60.7,0.09,6.137,-23.792,11.191,2.248,25.295,5.258,-5.138,640,884516.218,60.410,67,69,
Adult,Male,-135.0,60.7,0.078,6.378,-24.232,11.191,2.248,25.295,5.258,-5.138,640,884516.218,60.410,67,69,
Adult,Male,-135.0,60.7,0.322,6.338,-23.791,11.191,2.248,25.295,5.258,-5.138,640,884516.218,60.410,67,69,
Adult,Male,-135.0,60.7,0.119,7.074,-24.803,11.191,2.248,25.295,5.258,-5.138,640,884516.218,60.410,67,69,
Yearling,Male,-135.0,60.7,0.224,6.047,-24.797,11.191,2.248,25.295,5.258,-5.138,640,884516.218,60.410,67,69,
Yearling,Male,-135.0,60.7,0.193,7.118,-22.562,11.191,2.248,25.295,5.258,-5.138,640,884516.218,60.410,67,69,
Unknown,Male,-135.0,60.7,0.09,6.887,-24.080,11.191,2.248,25.295,5.258,-5.138,640,884516.218,60.410,67,69,
Adult,Female,-135.0,60.7,0.192,7.011,-24.262,11.191,2.248,25.295,5.258,-5.138,640,884516.218,60.410,67,69,
Adult,Male,-135.0,60.7,0.188,7.118,-23.933,11.191,2.248,25.295,5.258,-5.138,640,884516.218,60.410,67,69,
Yearling,Male,-135.0,60.7,0.295,6.675,-24.466,11.191,2.248,25.295,5.258,-5.138,640,884516.218,60.410,67,69,
Yearling,Male,-135.0,60.7,0.166,6.918,-22.637,11.191,2.248,25.295,5.258,-5.138,640,884516.218,60.410,67,69,
Adult,Male,-135.0,60.7,0.301,7.473,-23.775,11.191,2.248,25.295,5.258,-5.138,640,884516.218,60.410,67,69,
Yearling,Male,-135.0,60.7,0.111,6.385,-24.732,11.191,2.248,25.295,5.258,-5.138,640,884516.218,60.410,67,69,
Adult,Female,-135.0,60.7,0.186,7.281,-23.182,11.191,2.248,25.295,5.258,-5.138,640,884516.218,60.410,67,69,
Yearling,Female,-135.0,60.7,0.058,7.550,-25.616,11.191,2.248,23.054,4.825,-5.569,640,884516.218,60.410,67,69,
Adult,Male,-135.0,60.7,0.11,7.464,-23.861,11.191,2.248,23.054,4.825,-5.569,640,884516.218,60.410,67,69,
Yearling,Female,-135.0,60.7,0.114,6.356,-23.406,11.191,2.248,23.054,4.825,-5.569,640,884516.218,60.410,67,69,
Adult,Male,-135.0,60.7,0.113,6.292,-24.629,11.191,2.248,23.054,4.825,-5.569,640,884516.218,60.410,67,69,
Yearling,Male,-135.0,60.7,0.063,7.657,-23.837,11.191,2.248,23.054,4.825,-5.569,640,884516.218,60.410,67,69,
Adult,Female,-135.0,60.7,0.346,6.594,-24.430,11.191,2.248,23.054,4.825,-5.569,640,884516.218,60.410,67,69,
Adult,Male,-135.0,60.7,0.481,6.156,-25.110,11.191,2.248,23.054,4.825,-5.569,640,884516.218,60.410,67,69,
Yearling,Male,-138.0,61.2,0.045,6.733,-23.793,7.791,5.026,33.049,1.826,-9.518,1890,838678.680,140.734,54,58,
Yearling,Female,-138.0,61.2,0.078,6.381,-24.547,7.791,5.026,33.049,1.826,-9.518,1890,838678.680,140.734,54,58,
Unknown,Male,-138.0,61.2,0.092,7.343,-21.288,7.791,5.026,33.049,1.826,-9.518,1890,838678.680,140.734,54,58,
Adult,Male,-138.0,61.2,0.096,6.706,-24.050,7.791,5.026,33.049,1.826,-9.518,1890,838678.680,140.734,54,58,
Yearling,Female,-138.0,61.2,0.113,7.010,-25.079,7.791,5.026,33.049,1.826,-9.518,1890,838678.680,140.734,54,58,
Adult,Male,-135.0,60.7,0.117,6.960,-23.344,11.191,2.248,23.054,4.825,-5.569,640,884516.218,60.410,67,69,
Yearling,Male,-138.0,61.2,0.069,5.669,-24.021,7.791,5.026,33.049,1.826,-9.518,1890,838678.680,140.734,54,58,
Adult,Female,-135.0,60.7,0.277,8.246,-22.733,11.191,2.248,24.729,4.726,-5.590,640,884516.218,60.410,67,69,
Adult,Female,-138.0,61.2,0.134,6.592,-24.921,7.791,5.026,36.126,1.733,-9.578,1890,838678.680,140.734,54,58,
Adult,Male,-138.0,61.2,0.097,7.056,-24.959,7.791,5.026,36.126,1.733,-9.578,1890,838678.680,140.734,54,58,
Yearling,Female,-138.0,61.2,0.113,6.527,-23.039,7.791,5.026,36.126,1.733,-9.578,1890,838678.680,140.734,54,58,
Adult,Male,-135.8,60.1,0.262,7.130,-23.393,7.222,3.748,50.753,3.609,-6.423,1351,954447.979,81.392,52,54,
Adult,Male,-138.0,61.2,0.132,6.016,-24.213,7.791,5.026,36.126,1.733,-9.578,1890,838678.680,140.734,54,58,
Adult,Male,-138.0,61.2,0.135,6.714,-23.103,7.791,5.026,36.126,1.733,-9.578,1890,838678.680,140.734,54,58,
Adult,Male,-138.0,61.2,0.242,6.701,-23.477,7.791,5.026,36.126,1.733,-9.578,1890,838678.680,140.734,54,58,
Adult,Male,-135.0,60.7,0.255,6.698,-24.782,11.191,2.248,24.729,4.726,-5.590,640,884516.218,60.410,67,69,
Adult,Male,-138.0,61.2,1.116,9.325,-21.848,7.791,5.026,36.126,1.733,-9.578,1890,838678.680,140.734,54,58,
Adult,Male,-138.0,61.2,0.113,5.886,-24.445,7.791,5.026,36.126,1.733,-9.578,1890,838678.680,140.734,54,58,
Adult,Female,-138.0,61.2,0.691,6.188,-24.618,7.791,5.026,36.126,1.733,-9.578,1890,838678.680,140.734,54,58,
Adult,Female,-138.0,61.2,0.065,4.499,-24.874,7.791,5.026,36.126,1.733,-9.578,1890,838678.680,140.734,54,58,
Yearling,Female,-138.0,61.2,0.084,6.562,-24.431,7.791,5.026,36.126,1.733,-9.578,1890,838678.680,140.734,54,58,
Adult,Female,-138.0,61.2,0.91,8.514,-23.326,7.791,5.026,36.126,1.733,-9.578,1890,838678.680,140.734,54,58,
Adult,Female,-138.0,61.2,0.064,5.486,-24.419,7.791,5.026,36.126,1.733,-9.578,1890,838678.680,140.734,54,58,
Adult,Female,-138.0,61.2,0.094,5.275,-24.236,7.791,5.026,36.126,1.733,-9.578,1890,838678.680,140.734,54,58,
Adult,Male,-138.0,61.2,0.101,6.289,-24.732,7.791,5.026,36.126,1.733,-9.578,1890,838678.680,140.734,54,58,
Adult,Male,-138.0,61.2,0.162,6.628,-23.469,7.791,5.026,36.126,1.733,-9.578,1890,838678.680,140.734,54,58,
Yearling,Female,-135.0,60.7,0.265,5.891,-25.940,11.191,2.248,25.724,4.222,-6.285,640,884516.218,60.410,67,69,
Adult,Male,-138.0,61.2,0.212,7.330,-23.268,7.791,5.026,36.642,1.215,-10.131,1890,838678.680,140.734,54,58,
Yearling,Male,-138.0,61.2,0.338,7.987,-22.133,7.791,5.026,36.642,1.215,-10.131,1890,838678.680,140.734,54,58,
Adult,Female,-135.0,60.7,0.25,6.120,-23.935,11.191,2.248,25.724,4.222,-6.285,640,884516.218,60.410,67,69,
Yearling,Male,-135.0,60.7,0.349,6.060,-23.429,11.191,2.248,25.724,4.222,-6.285,640,884516.218,60.410,67,69,
Adult,Female,-135.0,60.7,0.137,5.498,-25.139,11.191,2.248,25.724,4.222,-6.285,640,884516.218,60.410,67,69,
Adult,Male,-135.0,60.7,0.235,5.579,-24.908,11.191,2.248,25.724,4.222,-6.285,640,884516.218,60.410,67,69,
Adult,Male,-135.0,60.7,0.558,5.919,-24.995,11.191,2.248,25.724,4.222,-6.285,640,884516.218,60.410,67,69,
Adult,Male,-135.0,60.7,0.126,6.498,-24.565,11.191,2.248,25.724,4.222,-6.285,640,884516.218,60.410,67,69,
Adult,Male,-135.0,60.7,0.343,8.272,-23.741,11.191,2.248,25.724,4.222,-6.285,640,884516.218,60.410,67,69,
Adult,Male,-135.0,60.7,0.284,6.009,-24.085,11.191,2.248,25.724,4.222,-6.285,640,884516.218,60.410,67,69,
Yearling,Female,-135.0,60.7,0.312,6.722,-24.018,11.191,2.248,25.724,4.222,-6.285,640,884516.218,60.410,67,69,
Adult,Male,-135.0,60.7,0.114,6.155,-24.910,11.191,2.248,25.724,4.222,-6.285,640,884516.218,60.410,67,69,
Yearling,Female,-138.0,61.2,0.09,5.922,-24.962,7.791,5.026,31.894,2.257,-9.056,1890,838678.680,140.734,54,58,
