ca,cr,cu,fe,mn,pb,zn,cd,mg,ni,soc,ph,n,k,p,landuse,group
1.188,73.82,26.4,3.885,777,27.1,89.05,0.27,1.591,33.79,0.578,7.47,763.8,2.585,997.5,Dryland,1
1.275,75.71,26.8,3.959,841.1,27.9,91.7,0.44,1.7,34.37,0.69,8.14,886.7,3.028,1190.7,Dryland,1
0.916,74.55,28.5,3.864,792.8,28.8,83.25,0.26,1.406,34.17,1.192,6.59,1272.4,2.41,674.1,Orchard,3
0.85,71.51,23.5,3.591,440,27.2,77.55,0.3,1.243,30.29,1.233,7.15,1203.8,2.215,479.85,Paddy,2
1.046,80.43,34.4,4.064,836.9,27.6,106.89,0.35,1.581,34.27,0.66,7.45,720,2.771,909.3,Dryland,1
1.036,72.35,27.9,3.738,673.1,26.8,86.74,0.23,1.635,33.4,0.578,5.92,716.2,2.297,998.55,Dryland,1
0.556,53.45,15.5,2.72,254.1,26.4,52.3,0.21,0.643,17.48,0.889,6.16,949.5,1.617,319.2,Dryland,1
0.861,63.75,25.392,3.476,738.2,26.27,78.46,0.204,1.328,29.7,0.746,6.58,832.7,2.379,591.76,Orchard,3
0.981,70.46,25.4,3.644,669.9,26.7,83.95,0.27,1.428,29.61,0.938,5.9,931.4,2.462,1183.35,Dryland,1
1.101,81.9,25.5,4.064,699.3,29.1,88.34,0.34,1.548,33.5,1.404,7.83,1465.7,2.451,730.8,Paddy,2
1.079,66.3,21.569,2.793,520.8,22.45,62.92,0.296,1.102,26.44,0.68,8.43,646.4,2.112,980.72,Paddy,2
0.534,58.49,16.1,3.224,373.8,28.6,63,0.26,0.807,20.58,0.832,5.87,942.9,2.142,434.7,Paddy,2
1.275,62.58,26.3,3.371,608,24.7,85.38,0.3,1.308,27.09,0.472,6.78,733.3,2.019,1063.65,Dryland,1
0.948,70.56,25.7,3.78,783.3,27.1,82.01,0.27,1.482,32.62,0.758,6.83,964.8,2.41,668.85,Dryland,1
1.09,59.01,16.9,3.381,725.6,24.6,65.09,0.26,0.981,21.55,0.619,6.92,727.6,1.576,942.9,Orchard,3
0.796,67.93,24.804,3.665,703.5,25.44,79.98,0.184,1.382,29.5,0.594,5.45,685.5,2.472,732.16,Orchard,3
0.883,63.11,22.9,3.77,496.7,26.9,69.42,0.18,1.177,26.02,0.832,5.19,938.1,1.72,820.05,Dryland,1
1.014,51.92,18.627,2.772,548.1,23.59,63.45,0.204,0.918,20.4,0.719,7.69,846.4,2.101,829.92,Orchard,3
0.741,65.48,22.157,3.434,525,24.62,79.12,0.194,1.307,27.82,0.836,5.33,986.4,2.369,599.04,Paddy,2
0.839,64.36,22.255,3.413,701.4,24.51,73.5,0.245,1.458,30.79,0.59,6.62,632.7,2.472,609.44,Paddy,2
0.85,72.14,26.6,3.78,737.1,27.8,89.6,0.26,1.417,29.61,0.734,5.41,968.6,2.472,1104.6,Dryland,1
0.818,68.15,25.4,3.696,564.9,29.9,73.54,0.24,1.395,31.26,1.11,6.98,1056.2,2.122,442.05,Dryland,1
0.861,64.16,25.392,3.56,672,25.54,76.86,0.224,1.328,27.82,0.781,6.2,880.9,2.245,607.36,Orchard,3
1.09,70.77,25.1,3.717,815.9,27.1,81.66,0.28,1.526,32.52,0.62,7.23,696.2,2.184,832.65,Dryland,1
0.741,65.38,20.784,3.35,572.3,26.37,65.2,0.173,1.037,26.14,0.974,6.84,850.9,2.07,327.6,Orchard,3
0.763,64.06,22.745,3.518,621.6,26.16,70.16,0.204,1.069,26.63,0.677,6.69,694.5,2.112,369.2,Orchard,3
1.134,75.07,26.373,3.717,661.5,26.68,84.03,0.214,1.48,37.52,1.064,8.33,940,2.39,734.24,Paddy,2
0.719,53.75,17.941,3.297,449.4,25.75,59.05,0.133,0.918,22.38,0.753,6.77,740,1.7,347.36,Dryland,1
0.785,75.5,25.5,3.854,622.7,28.2,84.19,0.28,1.504,31.26,0.897,6.08,1007.6,2.4,579.6,Paddy,2
1.134,77.91,31.5,4.148,888.3,28.5,91.78,0.29,1.744,36.6,0.46,6.85,672.4,2.534,1117.2,Dryland,1
0.839,70.77,23,3.476,612.2,25.2,72.09,0.14,1.384,26.12,0.742,5.16,721.9,2.194,779.1,Paddy,2
1.166,72.98,26.1,3.759,788.6,26,78.33,0.25,1.581,31.65,0.546,7.59,705.7,2.369,792.75,Dryland,1
1.123,74.45,25.5,3.896,779.1,25.7,83.76,0.22,1.635,31.75,0.52,6.59,676.2,2.307,948.15,Dryland,1
0.927,69.67,25.392,3.738,693,25.24,86.45,0.184,1.458,30.59,0.627,5.7,768.2,2.513,834.08,Orchard,3
0.85,71.6,27.059,3.833,766.5,26.47,83.33,0.173,1.404,32.97,0.76,5.98,764.5,2.307,755.04,Orchard,3
0.916,72.22,34.314,3.875,726.6,28.22,94.42,0.235,1.393,33.66,0.786,6.06,850.9,2.266,720.72,Orchard,3
0.883,70.38,25.098,3.822,788.6,26.27,73.46,0.163,1.372,29.7,0.58,6,530.9,2.184,520,Orchard,3
0.861,68.24,25.098,3.801,690.9,26.37,86.6,0.214,1.501,32.57,0.806,5.4,785.5,2.421,723.84,Dryland,1
0.763,67.12,18.824,3.14,528.2,22.97,61.95,0.143,1.188,24.75,0.46,6.95,540,2.142,362.96,Dryland,1
0.48,66.2,20.098,2.93,594.3,27.46,61.91,0.204,0.659,19.11,0.917,6,1038.2,1.514,617.76,Dryland,1
0.861,64.26,23.137,3.444,588,23.18,80.64,0.184,1.285,25.45,0.71,5.81,845.5,2.153,932.88,Dryland,1
1.515,64.77,21.176,3.192,549.2,24.41,75.75,0.133,1.048,24.65,0.751,8.4,683.6,1.978,867.36,Dryland,1
0.992,60.28,20.294,2.94,554.4,23.38,64.76,0.214,1.307,25.64,0.417,7.29,574.5,2.379,642.72,Paddy,2
1.025,72.83,23.333,3.665,637.4,24.62,74.64,0.122,1.372,28.12,0.834,7.86,830,2.204,585.52,Dryland,1
0.698,67.63,25.294,3.707,506.1,29.56,79.58,0.224,1.22,30.89,0.848,5.54,1093.6,2.318,442,Orchard,3
0.927,68.65,25,3.602,681.5,25.13,80.07,0.265,1.469,31.09,0.627,5.92,637.3,2.431,789.36,Dryland,1
0.436,59.67,16.078,3.108,279.3,25.44,56.95,0.143,0.691,18.12,0.737,4.98,963.6,1.885,676,Dryland,1
0.807,55.49,21.078,2.688,515.6,22.25,53.64,0.163,1.026,26.34,0.44,7.86,444.5,2.06,786.24,Dryland,1
0.349,50.39,13.235,2.247,232.1,25.96,44.25,0.224,0.486,14.85,0.958,5.47,1122.7,1.421,409.76,Paddy,2
0.283,66.3,14.412,2.594,277.2,27.19,43.17,0.092,0.497,14.55,1.009,4.84,1052.7,1.442,1012.96,Dryland,1
0.349,65.89,22.745,2.993,284.6,27.19,61.31,0.204,0.842,21.58,1.285,5.29,1267.3,2.05,325.52,Paddy,2
0.665,67.52,23.824,3.707,713,25.03,74.23,0.153,1.307,29.7,0.48,5.06,622.7,2.328,491.92,Orchard,3
0.676,66.5,25.882,3.644,732.9,28.43,76.79,0.184,1.069,26.24,0.654,5.84,699.1,2.142,642.72,Orchard,3
0.73,73.54,25.196,3.896,537.6,27.09,81.05,0.224,1.447,31.58,0.869,5.1,1254.5,2.235,985.92,Orchard,3
0.796,69.77,25.392,3.686,744.5,26.88,78.14,0.224,1.339,32.18,0.751,5.93,907.3,2.225,465.92,Orchard,3
