spp,svl,hw,hl,td,ew,tl,sl,fl,end,nsd,iod,ind,dsa,,,,,,,,,,
rk,65.42,22.13,21.75,5.32,5.97,36.1,38.16,54.35,4.29,5.12,4.91,4.67,1.067431065,,,,,,,,,,
rk,63.29,19.94,20.86,5.84,5.16,28.15,33.73,49.45,4.31,4.47,4.68,4.92,0.996634768,,,,,,,,,,
rk,54.2,18.12,17.6,4.81,4.73,27.37,29.37,47.2,2.25,3.56,4.69,3.78,1.081485067,,,,,,,,,,
rk,60.89,19.95,20.89,5.8,4.83,25.19,33.06,49.51,3.52,3.43,4.61,4.22,0.995617068,,,,,,,,,,
rk,68.37,21.94,20.68,6.15,5.73,29.36,37.82,53.87,3.91,4.41,5.48,4.75,1.118296172,,,,,,,,,,
rk,65.21,21.1,21.99,5.85,5.8,32.92,38.82,54.77,4.12,5.22,4.82,4.16,1.000770357,,,,,,,,,,
rk,56.41,19.58,20.24,4.42,4.35,28.18,32.97,46.4,4.3,3.56,4.51,3.6,1.009744544,,,,,,,,,,
rk,61.61,21.07,19.99,5.63,5.43,27.07,33.82,49.45,3.89,4.27,4.61,4.47,1.110165215,,,,,,,,,,
rk,64.4,22.14,21.08,6.13,6.07,32.32,34.58,53.72,4.59,3.52,5.01,4.24,1.105764669,,,,,,,,,,
rk,64.37,20.92,21.01,5.61,5.11,28.99,34.98,50.45,4.71,3.75,4.49,3.93,1.042254711,,,,,,,,,,
rk,68.89,22.5,20.28,6.06,5.55,30.64,38.64,55.77,4.2,4.48,4.97,3.76,1.176085808,,,,,,,,,,
rk,76.75,25.76,24.72,6.52,5.26,37.73,43.64,64.27,4.92,4,5.51,5.73,1.096127615,,,,,,,,,,
rk,36.79,11.1,13.06,2.18,1.19,15.7,19.3,29.03,3.16,1.2,3.23,1.18,0.877839183,,,,,,,,,,
rk,37.23,12.76,13,3.34,2.73,15.74,23.08,32.95,3.59,2.56,3.43,2.49,1.025944797,,,,,,,,,,
rk,34.42,11.66,15.11,1.77,2.7,21.95,21.43,29.39,3.3,3.31,3.4,1.97,0.792230224,,,,,,,,,,
rk,63.18,21.11,19.51,4.45,4.17,32.59,35.41,51.81,5.06,4.38,4.76,3.54,1.143262338,,,,,,,,,,
rk,77.56,25.91,27.49,6.45,5.75,37.76,46.96,64.96,5.59,6.31,6.72,5.13,0.981442792,,,,,,,,,,
rk,53.13,15.75,16.27,4.58,3.96,24.87,28.82,44.6,4.67,2.49,3.8,3.25,1.010485028,,,,,,,,,,
rk,54.38,16.75,15.92,4.29,3.66,20.49,28.45,45.56,4.92,3.33,3.57,3.15,1.107940508,,,,,,,,,,
