rh,colour,timepup,subst,sex,weight,colnum
low,green,26,leaf,female,0.1923,1
low,green,26,off-leaf,female,0.1259,1
low,brown,18,off-leaf,male,0.1824,0
low,green,26,off-leaf,male,0.1978,1
low,green,21,off-leaf,female,0.178,1
low,green,24,leaf,female,0.1774,1
low,green,24,leaf,female,0.1802,1
low,green,24,leaf,female,0.1522,1
low,green,23,off-leaf,male,0.1892,1
low,green,23,off-leaf,male,0.2076,1
low,green,23,off-leaf,female,0.2296,1
low,green,23,leaf,male,0.2016,1
low,green,23,off-leaf,male,0.1946,1
low,green,23,leaf,male,0.1869,1
low,green,26,off-leaf,female,0.1755,1
low,green,26,off-leaf,female,0.1657,1
low,green,22,leaf,female,0.2173,1
low,green,28,off-leaf,female,0.1791,1
low,green,28,leaf,female,0.1938,1
low,green,28,leaf,female,0.1678,1
low,green,36,leaf,female,0.1874,1
low,green,36,off-leaf,female,0.1708,1
low,green,30,off-leaf,female,0.156,1
low,green,22,off-leaf,male,0.1942,1
low,brown,22,leaf,male,0.2085,0
low,green,22,off-leaf,male,0.1896,1
low,green,22,off-leaf,male,0.2133,1
low,green,32,off-leaf,female,0.1675,1
low,green,32,leaf,female,0.2165,1
low,green,32,leaf,female,0.1488,1
low,green,32,leaf,female,0.1319,1
low,green,32,leaf,female,0.1561,1
low,green,35,off-leaf,male,0.1141,1
low,brown,24,off-leaf,male,0.1858,0
low,green,24,leaf,male,0.1989,1
low,brown,24,off-leaf,male,0.1795,0
low,green,25,off-leaf,male,0.1675,1
low,brown,25,leaf,female,0.2304,0
low,green,27,leaf,male,0.1786,1
low,green,27,leaf,male,0.1776,1
low,green,27,leaf,male,0.2058,1
low,green,27,leaf,female,0.2122,1
low,green,27,leaf,female,0.2273,1
low,green,27,leaf,male,0.1982,1
low,green,27,leaf,male,0.2081,1
low,green,27,off-leaf,female,0.1904,1
low,green,27,off-leaf,male,0.2033,1
low,green,27,leaf,male,0.1703,1
low,green,27,leaf,female,0.2197,1
low,brown,20,off-leaf,female,0.2299,0
low,green,31,off-leaf,female,0.2253,1
low,green,31,off-leaf,female,0.1988,1
low,brown,31,off-leaf,female,0.2355,0
low,green,31,leaf,female,0.2115,1
low,green,31,leaf,male,0.2083,1
low,green,31,off-leaf,male,0.1428,1
low,green,31,leaf,male,0.1495,1
low,green,28,off-leaf,female,0.2209,1
low,green,28,off-leaf,male,0.1876,1
low,green,35,off-leaf,female,0.1879,1
low,brown,26,off-leaf,female,0.1742,0
low,green,40,off-leaf,female,0.1787,1
low,green,40,off-leaf,female,0.1884,1
low,green,41,leaf,female,0.1773,1
low,green,29,off-leaf,female,0.2007,1
low,green,25,off-leaf,female,0.2285,1
low,green,32,off-leaf,female,0.1622,1
low,green,33,leaf,female,0.1917,1
low,green,29,off-leaf,female,0.1718,1
low,green,28,leaf,female,0.2394,1
