Plant ID,Shelter,Plot,Pot,Species,Amount,Frequency,1st leaf measurement,1st plant height measurement,2nd leaf measurement,2nd plant height measurement,Above-ground biomass,Below-ground biomass,Above- to below-ground ratio,Sp_name,Type
65,1,5,84,Butterflyweed,90,15,32,9,84,17,1.8081,4.2448,9.402134838,Asclepias,eudicot
48,1,6,97,Butterflyweed,90,30,42,15,51,33,1.3956,2.9543,23.64574377,Asclepias,eudicot
186,2,7,120,Butterflyweed,70,3,28,16,67,23,3.4142,9.9667,6.736570793,Asclepias,eudicot
104,2,8,124,Butterflyweed,70,15,44,14,84,25.5,1.9347,4.6912,13.18033804,Asclepias,eudicot
114,2,9,143,Butterflyweed,70,30,16,5,48,26,0.9387,3.3872,27.69788005,Asclepias,eudicot
199,2,10,177,Butterflyweed,90,3,28,12,61,36,2.4402,5.3204,14.75288911,Asclepias,eudicot
115,2,11,180,Butterflyweed,90,15,22,13,61,33,NA,NA,NA,Asclepias,eudicot
196,2,12,212,Butterflyweed,90,30,40,9.5,90,27,1.5269,5.2568,17.6828869,Asclepias,eudicot
206,3,13,215,Butterflyweed,70,3,16,15.5,47,45,2.5494,6.3845,17.65121205,Asclepias,eudicot
215,3,14,234,Butterflyweed,70,15,28,12,81,40.5,3.8682,6.5487,10.46998604,Asclepias,eudicot
291,3,15,264,Butterflyweed,70,30,40,12,68,22,1.3372,3.9932,16.45228836,Asclepias,eudicot
214,3,16,269,Butterflyweed,90,3,26,9,40,20.5,1.0389,1.8366,19.73240928,Asclepias,eudicot
282,3,17,297,Butterflyweed,90,15,46,11,51,26,1.6831,4.0282,15.44768582,Asclepias,eudicot
299,3,18,321,Butterflyweed,90,30,6,6.5,52,40,1.6388,4.1807,24.40810349,Asclepias,eudicot
334,4,19,327,Butterflyweed,70,3,18,8,51,32,1.0721,3.4362,29.84796194,Asclepias,eudicot
357,4,20,349,Butterflyweed,70,15,12,7.5,29,19,0.893,2.6298,21.27659574,Asclepias,eudicot
373,4,21,372,Butterflyweed,70,30,20,13,49,27,1.4418,4.9349,18.72659176,Asclepias,eudicot
339,4,22,383,Butterflyweed,90,3,22,12,77,49,4.131,11.5779,11.86153474,Asclepias,eudicot
392,4,23,408,Butterflyweed,90,15,15,7,52,22,NA,NA,NA,Asclepias,eudicot
325,4,24,417,Butterflyweed,90,30,16,8,29,23,0.6448,1.9196,35.66997519,Asclepias,eudicot
418,5,25,433,Butterflyweed,70,3,15,12,30,30.5,1.2407,3.0109,24.58289675,Asclepias,eudicot
